State,Influenza A virus,Flu,Influenza,Type A influenza
Alabama,0.6077022320626615,0.03619683242178246,0.08290478293962605,0.07706110989785014
Alaska,0.40199073730860035,0.27632819683491033,0.3168832845600128,0.2677176794129991
Arizona,0.5976290913052766,0.018473393530771133,0.06530882332384505,0.04786924163967307
Arkansas,0.5774098322641199,0.04363128837445739,0.09381909984322166,0.07041889681257701
California,0.6460261597629664,0.11678806124796079,0.156588322299291,0.10004237182185055
Colorado,0.5524238319136064,-0.016807934459250374,0.03769518848014622,0.025721058232915206
Connecticut,0.6424627427208522,0.1665256726182019,0.216911362015083,0.14580637561001877
Delaware,0.6165168657585258,0.13267499422049503,0.18580527720259413,0.08241215478917523
District of Columbia,0.42758040917775997,-0.015035833875454676,0.004897063792833077,-0.061558459334775856
Florida,0.6159141204505927,-0.06489024563613623,-0.008783504821486696,-0.024040754173166437
Georgia,0.6624169399921693,0.09241580954629494,0.15794776374132136,0.19020036734694204
Hawaii,0.5123848613162305,0.24245970552233842,0.27353157315809334,0.1540864667713231
Idaho,0.52281879288877,0.005373470709659003,0.0387930835156689,-0.022706013638731436
Illinois,0.636498935145692,0.09574337035855844,0.13822236841736382,0.10928195561205836
Indiana,0.6104700200226683,0.05887218678640378,0.11452906589092433,0.08553341546835797
Iowa,0.5682223849423804,0.053363744590798984,0.10839973648260096,0.0946985334072846
Kansas,0.6658092893091185,0.17010334545523198,0.22497295371665785,0.17770447752707605
Kentucky,0.5806422779794439,0.05450244409193113,0.10462158323189315,0.17623979902629833
Louisiana,0.5685866772275734,0.005946706217754713,0.04824681994443436,0.041452534417100874
Maine,0.41998607476894045,0.002707609030242409,0.02979741958219454,-0.03550166320633272
Maryland,0.6188089183776955,0.06549843151332468,0.11716479393006633,0.10423413816523774
Massachusetts,0.6128908261049093,0.04092596299131172,0.09761184979832095,0.04915139461672775
Michigan,0.5743048336408568,0.09663266637501461,0.13356772639765901,0.10922051864503249
Minnesota,0.6351397551568437,0.13441737517417535,0.18640630144571244,0.16465763541694475
Mississippi,0.5694491624028002,0.002709915396504746,0.04834032692308978,0.05921865416871251
Missouri,0.6136487869695724,0.07883705454617862,0.12741024008792787,0.12478897670650145
Montana,0.46190450522901394,-0.059098327879829035,-0.009950002782028775,-0.06970942579148345
Nebraska,0.5512924412708116,0.07892875620132517,0.1362744147186537,0.10915241827730164
Nevada,0.48631337667273444,0.012716402409581343,0.04451282189722704,0.007889710787293468
New Hampshire,0.5872507752506466,0.17381019246096657,0.22994458773111284,0.23912546809748386
New Jersey,0.6311564998123484,0.03198291180256303,0.08942999653333383,0.09109853064961554
New Mexico,0.5228575303080738,-0.011944094547673173,0.021772296663481704,-0.019417807212298174
New York,0.7198436061829501,0.11699479180224362,0.173043510386582,0.16552930725082932
North Carolina,0.6438170185971561,0.12471760156891723,0.179905271047444,0.15060001260019046
North Dakota,0.5060907588354026,-0.030681349817024375,0.021497351657173248,0.005128619646950595
Ohio,0.587270121378306,0.0022996869661027694,0.055265329742635184,0.047381982958102115
Oklahoma,0.5252810361921658,0.01518417488576159,0.049244491588723044,0.025956741894504184
Oregon,0.5451617808535719,0.09921163898926401,0.13115242047984235,0.12414671862121177
Pennsylvania,0.6022581563104126,0.053723186385604776,0.10892584399062033,0.06236048910893955
Puerto Rico,,,,
Rhode Island,0.6486451963203901,0.1798819974284112,0.2342391144536228,0.21748516267693713
South Carolina,0.6204150370297938,0.05466761903262989,0.11313599620780208,0.14090495136029968
South Dakota,0.634250647713632,0.23035374826448385,0.279067262392953,0.20859852609398796
Tennessee,0.6045343490596665,-0.028280236202791714,0.02152961164610165,0.05564113596692466
Texas,0.6697960690063403,0.11069787353066318,0.16143745521780217,0.15017841340128735
US,0.6886969311956719,0.13863198986771985,0.19658308529381668,0.16077337486627769
Utah,0.4195543755101776,0.08578955694585952,0.11368756561019093,0.016527065550815498
Vermont,0.5173640383902728,0.18934234463001143,0.22992994049942264,0.09692891872845719
Virginia,0.657283335134379,0.17543803702085076,0.2416367101116421,0.176665438807381
Washington,0.5802357663266114,0.1341014869231103,0.17749765378232346,0.13902732945722251
West Virginia,0.556649176167965,0.02116607071542876,0.07254234395924371,0.04589672181134402
Wisconsin,0.6136603273822624,0.16277536717849833,0.20832984227607065,0.13788144608652353
Wyoming,0.6562628606768306,0.02882459392048315,0.08363129271482432,0.07129470775978702
